index,prediction,Usage
351,0,Public
352,0,Public
353,0,Public
354,340,Private
355,346,Public
356,0,Private
357,0,Public
358,0,Public
359,345,Public
360,329,Private
361,0,Private
362,282,Public
363,91,Private
364,157,Private
365,0,Public
366,16,Private
367,360,Public
368,0,Public
369,0,Public
370,365,Public
371,351,Public
372,242,Public
373,6,Private
374,170,Public
375,332,Public
376,84,Public
377,0,Public
378,0,Private
379,86,Public
380,0,Private
381,36,Public
382,358,Private
383,0,Public
384,341,Private
385,0,Private
386,180,Public
387,90,Public
388,68,Private
389,123,Public
390,107,Public
391,0,Private
392,35,Public
393,299,Public
394,15,Private
395,0,Private
396,56,Private
397,53,Private
398,0,Private
399,0,Public
400,0,Public
401,77,Private
402,7,Public
403,0,Public
404,2,Public
405,22,Public
406,33,Public
407,89,Public
408,8,Private
409,311,Public
410,253,Public
411,365,Public
412,59,Private
413,0,Public
414,243,Public
415,347,Public
416,273,Public
417,220,Public
418,0,Public
419,258,Public
420,74,Public
421,294,Public
422,0,Private
423,125,Public
424,180,Public
425,88,Private
426,0,Public
427,0,Public
428,0,Public
429,221,Private
430,79,Private
431,10,Public
432,0,Public
433,0,Public
434,34,Public
435,65,Public
436,207,Private
437,0,Public
438,69,Public
439,0,Public
440,36,Public
441,82,Private
442,27,Public
443,17,Public
444,365,Public
445,89,Private
446,338,Public
447,117,Public
448,0,Public
449,0,Private
450,0,Private
451,0,Private
452,308,Private
453,1,Private
454,0,Public
455,0,Public
456,0,Public
457,4,Private
458,13,Public
459,144,Public
460,1,Private
461,0,Private
462,87,Private
463,148,Public
464,0,Private
465,39,Public
466,311,Public
467,0,Public
468,180,Private
469,38,Private
470,96,Public
471,300,Public
472,0,Public
473,299,Private
474,63,Public
475,0,Public
476,35,Private
477,0,Private
478,0,Public
479,0,Private
480,0,Public
481,298,Public
482,0,Private
483,0,Private
484,0,Private
485,238,Public
486,11,Private
487,0,Public
488,183,Private
489,165,Public
490,263,Public
491,1,Private
492,201,Public
493,33,Private
494,10,Private
495,140,Public
496,25,Public
497,330,Public
498,215,Public
499,305,Public
500,81,Public
501,0,Public
502,332,Public
503,0,Public
504,0,Private
505,0,Private
506,119,Private
507,59,Public
508,0,Private
509,362,Public
510,238,Public
511,80,Private
512,0,Public
513,0,Private
514,0,Public
515,3,Private
516,57,Private
517,4,Public
518,61,Public
519,0,Public
520,90,Private
521,77,Private
522,71,Private
523,310,Private
524,186,Public
525,0,Public
526,19,Public
527,7,Public
528,0,Private
529,74,Public
530,0,Private
531,0,Public
532,0,Private
533,22,Public
534,0,Public
535,90,Public
536,79,Public
537,365,Public
538,47,Private
539,1,Private
540,93,Private
541,34,Private
542,0,Private
543,0,Public
544,28,Private
545,0,Public
546,0,Public
547,43,Public
548,8,Public
549,331,Public
550,4,Public
551,0,Private
552,0,Private
553,0,Private
554,365,Public
555,302,Public
556,0,Public
557,0,Public
558,166,Public
559,363,Public
560,329,Private
561,0,Public
562,20,Public
563,25,Public
564,339,Public
565,0,Public
566,1,Private
567,46,Public
568,179,Public
569,0,Public
570,0,Public
571,355,Private
572,19,Public
573,70,Public
574,217,Public
575,346,Public
576,0,Public
577,199,Public
578,354,Private
579,302,Public
580,265,Public
581,0,Public
582,0,Public
583,0,Public
584,30,Public
585,0,Private
586,83,Public
587,65,Public
588,0,Public
589,90,Public
590,164,Public
591,109,Public
592,0,Private
593,0,Public
594,8,Public
595,0,Public
596,0,Public
597,217,Private
598,3,Public
599,256,Public
600,156,Public
601,0,Public
602,350,Public
603,0,Public
604,160,Public
605,280,Private
606,35,Public
607,0,Public
608,0,Private
609,0,Public
610,340,Private
611,0,Public
612,0,Public
613,288,Private
614,0,Public
615,106,Private
616,365,Public
617,31,Private
618,137,Private
619,291,Public
620,347,Public
621,13,Private
622,0,Public
623,349,Public
624,11,Public
625,0,Private
626,0,Public
627,0,Public
628,292,Public
629,157,Public
630,0,Public
631,69,Private
632,0,Private
633,165,Public
634,5,Private
635,303,Public
636,336,Public
637,65,Public
638,21,Public
639,46,Private
640,0,Public
641,115,Private
642,175,Public
643,105,Public
644,180,Private
645,0,Public
646,0,Public
647,2,Private
648,158,Public
649,189,Private
650,214,Private
651,331,Public
652,156,Public
653,249,Private
654,301,Private
655,224,Public
656,355,Public
657,0,Private
658,119,Private
659,0,Private
660,42,Public
661,339,Private
662,117,Private
663,249,Public
664,42,Public
665,0,Private
666,3,Public
667,200,Private
668,32,Public
669,0,Public
670,0,Public
671,0,Public
672,0,Private
673,128,Private
674,0,Public
675,342,Public
676,0,Private
677,327,Public
678,365,Private
679,310,Public
680,0,Private
681,80,Public
682,0,Public
683,66,Public
684,356,Private
685,0,Public
686,363,Public
687,22,Private
688,55,Private
689,0,Public
690,0,Public
691,0,Public
692,365,Public
693,0,Public
694,0,Public
695,165,Private
696,53,Private
697,10,Private
698,265,Public
699,0,Private
700,0,Public
701,363,Private
702,13,Public
703,299,Private
704,361,Private
705,358,Public
706,0,Public
707,54,Private
708,0,Public
709,81,Public
710,37,Public
711,0,Public
712,0,Private
713,0,Public
714,0,Private
715,34,Private
716,2,Private
717,3,Public
718,262,Public
719,117,Private
720,272,Public
721,337,Public
722,0,Public
723,20,Public
724,20,Public
725,0,Public
726,0,Public
727,359,Public
728,104,Public
729,77,Public
730,0,Public
731,0,Private
732,1,Public
733,0,Private
734,154,Public
735,0,Public
736,71,Private
737,0,Public
738,297,Private
739,0,Public
740,0,Public
741,353,Private
742,349,Public
743,0,Private
744,17,Private
745,323,Private
746,65,Public
747,0,Public
748,0,Public
749,0,Private
750,337,Private
751,188,Public
752,160,Public
753,355,Public
754,6,Public
755,0,Public
756,0,Private
757,0,Public
758,357,Private
759,167,Public
760,79,Public
761,0,Public
762,364,Public
763,97,Public
764,179,Private
765,0,Public
766,0,Public
767,0,Public
768,0,Private
769,0,Public
770,338,Public
771,0,Public
772,31,Private
773,331,Public
774,62,Public
775,89,Public
776,180,Private
777,32,Public
778,365,Private
779,50,Public
780,268,Private
781,22,Public
782,266,Public
783,188,Public
784,0,Public
785,0,Public
786,34,Public
787,65,Private
788,0,Public
789,318,Public
790,308,Public
791,330,Private
792,76,Public
793,125,Public
794,90,Private
795,89,Private
796,283,Public
797,291,Public
798,1,Public
799,0,Public
800,0,Private
801,0,Public
802,101,Private
803,273,Public
804,157,Public
805,0,Public
806,0,Public
807,132,Public
808,0,Public
809,0,Private
810,340,Public
811,139,Private
812,117,Public
813,365,Private
814,216,Private
815,8,Public
816,0,Private
817,339,Public
818,83,Private
819,74,Public
820,0,Public
821,281,Public
822,31,Private
823,0,Public
824,0,Public
825,132,Public
826,311,Private
827,21,Public
828,0,Public
829,261,Public
830,0,Public
831,0,Public
832,67,Public
833,11,Private
834,333,Public
835,364,Private
836,0,Public
837,157,Public
838,311,Private
839,4,Public
840,249,Public
841,0,Public
842,281,Private
843,353,Public
844,6,Public
845,0,Private
846,113,Public
847,0,Private
848,6,Public
849,246,Public
850,364,Public
851,0,Private
852,214,Private
853,36,Private
854,365,Public
855,0,Public
856,0,Private
857,0,Public
858,0,Private
859,119,Private
860,249,Private
861,310,Public
862,332,Public
863,242,Public
864,218,Public
865,0,Public
866,205,Public
867,50,Public
868,105,Public
869,90,Private
870,340,Private
871,0,Public
872,69,Public
873,316,Public
874,1,Public
875,179,Public
876,0,Public
877,19,Public
878,4,Public
879,242,Private
880,0,Public
881,365,Public
882,303,Public
883,359,Public
884,26,Private
885,0,Public
886,60,Private
887,0,Public
888,0,Public
889,8,Public
890,0,Public
891,0,Private
892,83,Public
893,0,Public
894,0,Public
895,321,Private
896,0,Public
897,123,Private
898,291,Public
899,0,Public
900,333,Private
901,364,Public
902,197,Public
903,362,Public
904,320,Public
905,0,Public
906,0,Private
907,13,Private
908,29,Private
909,57,Public
910,141,Public
911,29,Public
912,0,Public
913,213,Private
914,245,Public
915,0,Public
916,356,Public
917,16,Private
918,0,Public
919,18,Public
920,329,Public
921,0,Private
922,0,Private
923,33,Public
924,332,Private
925,1,Public
926,8,Public
927,143,Private
928,322,Public
929,310,Public
930,49,Private
931,349,Public
932,180,Public
933,198,Public
934,348,Public
935,0,Private
936,0,Public
937,0,Public
938,87,Private
939,70,Public
940,358,Public
941,0,Private
942,342,Public
943,312,Public
944,223,Public
945,31,Public
946,265,Public
947,12,Public
948,324,Private
949,87,Public
950,80,Public
951,91,Public
952,126,Public
953,310,Public
954,126,Public
955,64,Private
956,0,Public
957,11,Public
958,0,Public
959,0,Private
960,164,Public
961,11,Private
962,336,Public
963,357,Public
964,0,Private
965,10,Public
966,14,Public
967,324,Private
968,0,Public
969,65,Public
970,0,Public
971,269,Public
972,0,Public
973,363,Public
974,0,Public
975,189,Private
976,81,Public
977,0,Private
978,64,Public
979,0,Public
980,303,Public
981,306,Public
982,258,Public
983,11,Private
984,182,Private
985,135,Private
986,0,Private
987,102,Public
988,0,Public
989,0,Private
990,0,Public
991,0,Public
992,181,Public
993,0,Public
994,102,Public
995,243,Public
996,0,Private
997,339,Public
998,0,Private
999,330,Private
1000,359,Private
1001,13,Public
1002,358,Public
1003,107,Private
1004,227,Public
1005,318,Public
1006,188,Private
1007,142,Private
1008,40,Public
1009,0,Public
1010,365,Private
1011,14,Private
1012,0,Public
1013,336,Public
1014,342,Private
1015,0,Public
1016,129,Public
1017,29,Public
1018,0,Public
1019,293,Private
1020,180,Public
1021,1,Private
1022,8,Public
1023,358,Public
1024,365,Public
1025,303,Public
1026,12,Public
1027,92,Private
1028,291,Private
1029,0,Public
1030,0,Private
1031,31,Public
1032,38,Public
1033,0,Public
1034,7,Public
1035,0,Public
1036,0,Public
1037,352,Private
1038,0,Private
1039,0,Private
1040,365,Private
1041,81,Public
1042,34,Private
1043,141,Public
1044,105,Private
1045,11,Private
1046,1,Public
1047,0,Public
1048,0,Public
1049,0,Public
1050,176,Public
1051,180,Public
1052,289,Private
1053,31,Public
1054,82,Private
1055,0,Public
1056,0,Public
1057,0,Private
1058,0,Public
1059,0,Public
1060,193,Public
1061,147,Public
1062,3,Public
1063,182,Public
1064,0,Private
1065,240,Public
1066,188,Public
1067,0,Public
1068,365,Public
1069,30,Public
1070,107,Public
1071,0,Public
1072,0,Public
1073,338,Public
1074,159,Public
1075,269,Public
1076,0,Private
1077,180,Private
1078,161,Private
1079,7,Private
1080,365,Private
1081,0,Private
1082,78,Public
1083,0,Public
1084,286,Public
1085,53,Public
1086,0,Public
1087,80,Private
1088,0,Public
1089,0,Public
1090,0,Public
1091,0,Public
1092,163,Private
1093,0,Public
1094,17,Public
1095,179,Public
1096,0,Public
1097,0,Public
1098,0,Public
1099,356,Public
1100,189,Private
1101,53,Private
1102,364,Public
1103,364,Private
1104,12,Public
1105,197,Public
1106,364,Public
1107,90,Public
1108,361,Private
1109,0,Public
1110,1,Private
1111,113,Private
1112,0,Public
1113,54,Private
1114,237,Private
1115,235,Private
1116,0,Private
1117,151,Public
1118,51,Public
1119,175,Public
1120,0,Private
1121,312,Public
1122,0,Private
1123,0,Private
1124,0,Public
1125,0,Public
1126,0,Public
1127,0,Public
1128,247,Public
1129,3,Private
1130,220,Public
1131,0,Private
1132,297,Public
1133,20,Public
1134,88,Public
1135,0,Private
1136,0,Private
1137,364,Private
1138,0,Public
1139,298,Public
1140,333,Public
1141,0,Private
1142,43,Public
1143,115,Public
1144,0,Public
1145,0,Public
1146,0,Public
1147,0,Public
1148,363,Private
1149,0,Private
1150,0,Public
1151,332,Public
1152,0,Public
1153,8,Public
1154,0,Public
1155,0,Public
1156,2,Public
1157,138,Public
1158,166,Public
1159,0,Public
1160,262,Public
1161,0,Private
1162,17,Public
1163,0,Private
1164,266,Public
1165,77,Public
1166,35,Public
1167,340,Public
1168,165,Public
1169,358,Public
1170,294,Public
1171,287,Public
1172,0,Private
1173,7,Public
1174,365,Private
1175,0,Public
1176,117,Public
1177,0,Public
1178,227,Public
1179,251,Private
1180,311,Public
1181,37,Public
1182,0,Private
1183,0,Private
1184,6,Public
1185,158,Private
1186,360,Public
1187,0,Private
1188,349,Private
1189,41,Public
1190,262,Public
1191,364,Public
1192,326,Private
1193,180,Public
1194,332,Public
1195,188,Private
1196,278,Public
1197,0,Private
1198,131,Public
1199,14,Private
1200,346,Public
1201,174,Public
1202,181,Private
1203,0,Public
1204,0,Private
1205,66,Public
1206,14,Private
1207,212,Public
1208,227,Private
1209,255,Private
1210,0,Public
1211,188,Private
1212,13,Public
1213,191,Public
1214,0,Private
1215,267,Private
1216,3,Public
1217,0,Private
1218,248,Private
1219,179,Public
1220,355,Private
1221,9,Public
1222,87,Private
1223,363,Private
1224,6,Public
1225,333,Public
1226,333,Public
1227,0,Private
1228,112,Public
1229,0,Private
1230,0,Public
1231,0,Public
1232,193,Public
1233,0,Private
1234,65,Public
1235,338,Public
1236,130,Private
1237,0,Public
1238,0,Public
1239,1,Public
1240,0,Public
1241,54,Public
1242,106,Public
1243,0,Public
1244,185,Private
1245,0,Public
1246,0,Public
1247,0,Private
1248,0,Private
1249,324,Public
1250,1,Public
1251,151,Public
1252,0,Private
1253,0,Private
1254,350,Public
1255,0,Public
1256,12,Private
1257,304,Public
1258,304,Public
1259,0,Public
1260,190,Public
1261,0,Private
1262,0,Public
1263,0,Public
1264,14,Public
1265,0,Public
1266,29,Private
1267,273,Private
1268,0,Public
1269,364,Public
1270,89,Private
1271,4,Private
1272,150,Public
1273,0,Private
1274,309,Public
1275,6,Private
1276,0,Public
1277,298,Private
1278,18,Private
1279,0,Public
1280,248,Private
1281,0,Public
1282,0,Public
1283,340,Public
1284,0,Private
1285,70,Public
1286,33,Public
1287,0,Private
1288,66,Public
1289,0,Public
1290,106,Private
1291,246,Private
1292,0,Public
1293,77,Private
1294,344,Public
1295,205,Public
1296,365,Private
1297,5,Public
1298,24,Private
1299,4,Private
1300,280,Public
1301,128,Public
1302,359,Private
1303,129,Public
1304,12,Public
1305,340,Public
1306,363,Public
1307,0,Public
1308,0,Private
1309,0,Public
1310,0,Public
1311,282,Private
1312,50,Private
1313,0,Private
1314,0,Public
1315,80,Private
1316,345,Public
1317,0,Public
1318,94,Private
1319,0,Public
1320,44,Public
1321,316,Public
1322,0,Public
1323,299,Public
1324,360,Public
1325,311,Public
1326,0,Public
1327,0,Public
1328,112,Public
1329,244,Private
1330,222,Private
1331,0,Private
1332,245,Public
1333,152,Private
1334,189,Private
1335,0,Public
1336,0,Public
1337,155,Private
1338,0,Private
1339,0,Private
1340,0,Public
1341,0,Public
1342,306,Private
1343,3,Private
1344,152,Public
1345,342,Public
1346,364,Public
1347,175,Public
1348,4,Public
1349,45,Public
1350,281,Private
1351,249,Public
1352,339,Public
1353,39,Private
1354,127,Public
1355,0,Public
1356,8,Public
1357,0,Public
1358,0,Private
1359,207,Private
1360,0,Public
1361,0,Private
1362,317,Public
1363,358,Private
1364,0,Public
1365,0,Private
1366,342,Public
1367,52,Private
1368,18,Public
1369,180,Private
1370,229,Private
1371,308,Public
1372,0,Private
1373,0,Private
1374,5,Public
1375,27,Public
1376,0,Public
1377,258,Public
1378,0,Private
1379,82,Public
1380,7,Public
1381,0,Public
1382,0,Public
1383,0,Public
1384,255,Public
1385,330,Public
1386,11,Public
1387,105,Public
1388,267,Public
1389,326,Public
1390,0,Private
1391,0,Public
1392,338,Public
1393,0,Private
1394,166,Public
1395,152,Private
1396,0,Private
1397,0,Private
1398,0,Public
1399,96,Public
1400,0,Public
1401,48,Private
1402,170,Private
1403,0,Public
1404,0,Public
1405,0,Private
1406,24,Public
1407,350,Public
1408,0,Public
1409,188,Public
1410,64,Private
1411,316,Public
1412,0,Public
1413,0,Public
1414,0,Public
1415,0,Public
1416,0,Public
1417,364,Private
1418,243,Private
1419,0,Private
1420,0,Private
1421,31,Private
1422,0,Public
1423,0,Public
1424,309,Public
1425,0,Private
1426,0,Public
1427,0,Public
1428,0,Public
1429,365,Public
1430,0,Public
1431,364,Public
1432,335,Private
1433,194,Private
1434,332,Public
1435,0,Public
1436,0,Private
1437,240,Private
1438,365,Private
1439,69,Private
1440,0,Public
1441,94,Public
1442,0,Private
1443,0,Public
1444,120,Public
1445,269,Private
1446,0,Public
1447,193,Public
1448,314,Public
1449,0,Public
1450,0,Private
1451,109,Public
1452,0,Private
1453,365,Private
1454,0,Public
1455,74,Private
1456,125,Private
1457,86,Public
1458,256,Public
1459,241,Public
1460,364,Private
1461,360,Private
1462,61,Public
1463,0,Public
1464,0,Private
1465,0,Public
1466,362,Private
1467,288,Public
1468,211,Public
1469,285,Public
1470,278,Public
1471,217,Private
1472,351,Private
1473,209,Public
1474,176,Private
1475,362,Public
1476,0,Private
1477,24,Private
1478,0,Private
1479,0,Public
1480,7,Public
1481,0,Private
1482,354,Public
1483,84,Public
1484,21,Private
1485,51,Private
1486,0,Private
1487,299,Private
1488,0,Public
1489,173,Private
1490,135,Public
1491,292,Public
1492,89,Private
1493,68,Public
1494,3,Private
1495,157,Public
1496,49,Public
1497,316,Public
1498,253,Public
1499,0,Private
1500,0,Public
1501,243,Public
1502,0,Private
1503,49,Private
1504,0,Public
1505,32,Public
1506,128,Private
1507,0,Public
1508,103,Public
1509,0,Public
1510,0,Public
1511,172,Public
1512,84,Public
1513,0,Public
1514,0,Private
1515,30,Public
1516,12,Public
1517,21,Public
1518,319,Private
1519,179,Public
1520,313,Public
1521,249,Private
1522,188,Public
1523,365,Public
1524,279,Public
1525,347,Private
1526,62,Private
1527,213,Private
1528,0,Public
1529,3,Public
1530,32,Private
1531,0,Public
1532,179,Private
1533,0,Private
1534,5,Private
1535,48,Private
1536,31,Public
1537,346,Public
1538,216,Private
1539,148,Public
1540,340,Private
1541,37,Public
1542,0,Public
1543,47,Private
1544,0,Public
1545,83,Private
1546,0,Private
1547,0,Private
1548,0,Public
1549,0,Public
1550,314,Private
1551,0,Public
1552,1,Public
1553,262,Private
1554,86,Private
1555,345,Private
1556,26,Public
1557,0,Public
1558,0,Public
1559,0,Public
1560,344,Public
1561,66,Private
1562,0,Public
1563,38,Public
1564,364,Public
1565,35,Public
1566,0,Public
1567,185,Public
1568,0,Public
1569,1,Private
1570,66,Public
1571,180,Public
1572,0,Public
1573,170,Public
1574,30,Public
1575,5,Public
1576,365,Public
1577,229,Private
1578,0,Public
1579,0,Public
1580,3,Private
1581,7,Public
1582,55,Public
1583,124,Public
1584,0,Private
1585,34,Public
1586,347,Public
1587,16,Public
1588,83,Public
1589,24,Private
1590,16,Private
1591,182,Public
1592,0,Private
1593,315,Private
1594,179,Private
1595,325,Private
1596,328,Private
1597,0,Private
1598,283,Public
1599,63,Public
1600,84,Public
1601,0,Private
1602,0,Public
1603,0,Private
1604,203,Public
1605,79,Public
1606,0,Public
1607,62,Private
1608,347,Public
1609,0,Private
1610,301,Public
1611,4,Public
1612,302,Public
1613,204,Public
1614,0,Public
1615,0,Public
1616,140,Public
1617,0,Public
1618,0,Private
1619,365,Public
1620,179,Public
1621,95,Public
1622,127,Public
1623,0,Public
1624,42,Public
1625,365,Public
1626,188,Private
1627,0,Public
1628,113,Private
1629,305,Private
1630,31,Public
1631,148,Public
1632,364,Public
1633,0,Public
1634,318,Public
1635,44,Public
1636,19,Public
1637,94,Public
1638,0,Private
1639,8,Public
1640,2,Private
1641,0,Public
1642,0,Private
1643,189,Private
1644,32,Private
1645,20,Public
1646,7,Private
1647,0,Private
1648,0,Public
1649,19,Private
1650,0,Private
1651,162,Public
1652,2,Public
1653,89,Public
1654,133,Public
1655,2,Private
1656,5,Public
1657,37,Public
1658,0,Private
1659,288,Private
1660,0,Private
1661,339,Public
1662,22,Private
1663,48,Public
1664,293,Public
1665,357,Public
1666,0,Public
1667,117,Private
1668,63,Public
1669,0,Private
1670,11,Public
1671,22,Public
1672,0,Public
1673,0,Public
1674,145,Public
1675,0,Public
1676,0,Private
1677,5,Public
1678,6,Public
1679,343,Public
1680,0,Private
1681,0,Private
1682,245,Public
1683,0,Public
1684,88,Private
1685,348,Public
1686,0,Private
1687,0,Public
1688,146,Public
1689,9,Public
1690,330,Public
1691,363,Public
1692,156,Public
1693,0,Private
1694,0,Public
1695,0,Public
1696,0,Public
1697,342,Public
1698,159,Public
1699,0,Public
1700,342,Public
1701,364,Private
1702,23,Public
1703,0,Public
1704,0,Public
1705,173,Public
1706,61,Public
1707,53,Private
1708,0,Public
1709,94,Public
1710,20,Public
1711,253,Public
1712,0,Public
1713,361,Private
1714,303,Public
1715,252,Public
1716,0,Public
1717,0,Public
1718,0,Private
1719,0,Public
1720,82,Private
1721,9,Public
1722,222,Public
1723,61,Public
1724,0,Public
1725,271,Public
1726,5,Public
1727,365,Private
1728,161,Public
1729,364,Private
1730,0,Private
1731,0,Public
1732,83,Public
1733,0,Public
1734,89,Private
1735,33,Public
1736,0,Public
1737,139,Public
1738,357,Private
1739,0,Public
1740,254,Private
1741,0,Public
1742,358,Private
1743,11,Private
1744,247,Private
1745,42,Public
1746,0,Public
1747,131,Public
1748,10,Public
1749,127,Public
1750,110,Private
1751,0,Private
1752,0,Private
1753,0,Public
1754,0,Public
1755,0,Public
1756,0,Public
1757,0,Public
1758,190,Public
1759,36,Public
1760,354,Public
1761,218,Public
1762,0,Public
1763,307,Public
1764,0,Public
1765,67,Private
1766,50,Public
1767,0,Public
1768,2,Public
1769,336,Private
1770,0,Private
1771,86,Public
1772,0,Private
1773,83,Public
1774,231,Public
1775,126,Private
1776,344,Public
1777,188,Private
1778,0,Public
1779,25,Public
1780,0,Public
1781,290,Public
1782,0,Private
1783,49,Public
1784,0,Private
1785,166,Public
1786,26,Public
1787,289,Public
1788,344,Private
1789,1,Private
1790,365,Public
1791,0,Public
1792,67,Public
1793,29,Private
1794,154,Public
1795,0,Public
1796,0,Public
1797,365,Private
1798,1,Private
1799,0,Public
1800,168,Private
1801,0,Public
1802,310,Public
1803,179,Private
1804,0,Public
1805,47,Public
1806,0,Public
1807,137,Public
1808,42,Private
1809,15,Public
1810,364,Public
1811,0,Private
1812,0,Private
1813,0,Public
1814,0,Public
1815,56,Private
1816,0,Public
1817,1,Public
1818,0,Public
1819,0,Private
1820,248,Private
1821,24,Public
1822,13,Public
1823,59,Private
1824,22,Public
1825,0,Private
1826,58,Public
1827,281,Private
1828,0,Private
1829,163,Public
1830,85,Public
1831,323,Public
1832,0,Public
1833,264,Private
1834,305,Public
1835,333,Public
1836,0,Public
1837,0,Public
1838,0,Public
1839,360,Public
1840,1,Private
1841,131,Public
1842,158,Private
1843,365,Public
1844,0,Public
1845,0,Public
1846,50,Public
1847,0,Public
1848,23,Public
1849,326,Private
1850,365,Public
1851,312,Public
1852,0,Public
1853,14,Public
1854,12,Private
1855,350,Public
1856,1,Private
1857,0,Public
1858,288,Private
1859,5,Public
1860,87,Private
1861,0,Public
1862,12,Public
1863,357,Public
1864,363,Private
1865,171,Public
1866,193,Private
1867,0,Public
1868,0,Public
1869,0,Public
1870,138,Public
1871,364,Public
